Model,Accuracy,Precision,Recall,F1-Score,AUC
KNN,0.66643,0.6711976097184807,0.722724209993184,0.6959819819356471,0.7212582191169404
XGBoost,0.7116399999999999,0.7273372460718128,0.72662210450426,0.7269631701883459,0.7860734224686736
MLP,0.7061499999999998,0.7204041519674474,0.7253428934894093,0.7228519756443822,0.7734936579120448
SVM,0.64233,0.6425923898013605,0.7279099509400838,0.6825771485828169,0.6805265314716425
